[0,0,0,0] 95663,0,0,0,0,0,0,0
[0,0,0,1] 0,110113,0,0,0,0,0,0
[0,0,0,2] 0,0,124550,0,0,0,0,0
[0,0,0,3] 0,0,0,138968,0,0,0,0
[0,0,0,4] 0,0,0,0,110113,0,0,0
[0,0,0,5] 0,0,0,0,0,124550,0,0
[0,0,0,6] 0,0,0,0,0,0,138968,0
[0,0,0,7] 0,0,0,0,0,0,0,153378
[0,0,1,0] 175735,0,0,0,0,0,0,0
[0,0,1,1] 95400,95762,0,0,0,0,0,0
[0,0,1,2] 95400,0,110266,0,0,0,0,0
[0,0,1,3] 95400,0,0,124757,0,0,0,0
[0,0,1,4] 95400,0,0,0,124757,0,0,0
[0,0,1,5] 95400,0,0,0,0,110266,0,0
[0,0,1,6] 95400,0,0,0,0,0,124757,0
[0,0,1,7] 95400,0,0,0,0,0,0,139229
[0,0,2,0] 278919,0,0,0,0,0,0,0
[0,0,2,1] 97061,111549,0,0,0,0,0,0
[0,0,2,2] 97061,0,96973,0,0,0,0,0
[0,0,2,3] 97061,0,0,111549,0,0,0,0
[0,0,2,4] 97061,0,0,0,140656,0,0,0
[0,0,2,5] 97061,0,0,0,0,126112,0,0
[0,0,2,6] 97061,0,0,0,0,0,111549,0
[0,0,2,7] 97061,0,0,0,0,0,0,126112
[0,0,3,0] 357596,0,0,0,0,0,0,0
[0,0,3,1] 95991,126782,0,0,0,0,0,0
[0,0,3,2] 95991,0,112165,0,0,0,0,0
[0,0,3,3] 95991,0,0,97535,0,0,0,0
[0,0,3,4] 95991,0,0,0,155970,0,0,0
[0,0,3,5] 95991,0,0,0,0,141380,0,0
[0,0,3,6] 95991,0,0,0,0,0,126782,0
[0,0,3,7] 95991,0,0,0,0,0,0,112165
[0,0,4,0] 188554,0,0,0,0,0,0,0
[0,0,4,1] 96322,126520,0,0,0,0,0,0
[0,0,4,2] 96322,0,141116,0,0,0,0,0
[0,0,4,3] 96322,0,0,155704,0,0,0,0
[0,0,4,4] 96322,0,0,0,97277,0,0,0
[0,0,4,5] 96322,0,0,0,0,111905,0,0
[0,0,4,6] 96322,0,0,0,0,0,126520,0
[0,0,4,7] 96322,0,0,0,0,0,0,141116
[0,0,5,0] 277495,0,0,0,0,0,0,0
[0,0,5,1] 96482,111327,0,0,0,0,0,0
[0,0,5,2] 96482,0,125878,0,0,0,0,0
[0,0,5,3] 96482,0,0,140410,0,0,0,0
[0,0,5,4] 96482,0,0,0,111327,0,0,0
[0,0,5,5] 96482,0,0,0,0,96820,0,0
[0,0,5,6] 96482,0,0,0,0,0,111327,0
[0,0,5,7] 96482,0,0,0,0,0,0,125878
[0,0,6,0] 358806,0,0,0,0,0,0,0
[0,0,6,1] 96754,124879,0,0,0,0,0,0
[0,0,6,2] 96754,0,110453,0,0,0,0,0
[0,0,6,3] 96754,0,0,124879,0,0,0,0
[0,0,6,4] 96754,0,0,0,124879,0,0,0
[0,0,6,5] 96754,0,0,0,0,110453,0,0
[0,0,6,6] 96754,0,0,0,0,0,96010,0
[0,0,6,7] 96754,0,0,0,0,0,0,110453
[0,0,7,0] 440301,0,0,0,0,0,0,0
[0,0,7,1] 95624,139654,0,0,0,0,0,0
[0,0,7,2] 95624,0,125152,0,0,0,0,0
[0,0,7,3] 95624,0,0,110631,0,0,0,0
[0,0,7,4] 95624,0,0,0,139654,0,0,0
[0,0,7,5] 95624,0,0,0,0,125152,0,0
[0,0,7,6] 95624,0,0,0,0,0,110631,0
[0,0,7,7] 95624,0,0,0,0,0,0,96097
[0,1,0,0] 95663,0,0,0,0,0,0,0
[0,1,0,1] 0,110113,0,0,0,0,0,0
[0,1,0,2] 0,0,124550,0,0,0,0,0
[0,1,0,3] 0,0,0,138968,0,0,0,0
[0,1,0,4] 0,0,0,0,110113,0,0,0
[0,1,0,5] 0,0,0,0,0,124550,0,0
[0,1,0,6] 0,0,0,0,0,0,138968,0
[0,1,0,7] 0,0,0,0,0,0,0,153378
[0,1,1,0] 110266,109862,0,0,0,0,0,0
[0,1,1,1] 0,289062,0,0,0,0,0,0
[0,1,1,2] 0,109862,110266,0,0,0,0,0
[0,1,1,3] 0,109862,0,124757,0,0,0,0
[0,1,1,4] 0,109862,0,0,124757,0,0,0
[0,1,1,5] 0,109862,0,0,0,110266,0,0
[0,1,1,6] 0,109862,0,0,0,0,124757,0
[0,1,1,7] 0,109862,0,0,0,0,0,139229
[0,1,2,0] 126112,111649,0,0,0,0,0,0
[0,1,2,1] 0,383263,0,0,0,0,0,0
[0,1,2,2] 0,111649,96973,0,0,0,0,0
[0,1,2,3] 0,111649,0,111549,0,0,0,0
[0,1,2,4] 0,111649,0,0,140656,0,0,0
[0,1,2,5] 0,111649,0,0,0,126112,0,0
[0,1,2,6] 0,111649,0,0,0,0,111549,0
[0,1,2,7] 0,111649,0,0,0,0,0,126112
[0,1,3,0] 141380,110511,0,0,0,0,0,0
[0,1,3,1] 0,483755,0,0,0,0,0,0
[0,1,3,2] 0,110511,112165,0,0,0,0,0
[0,1,3,3] 0,110511,0,97535,0,0,0,0
[0,1,3,4] 0,110511,0,0,155970,0,0,0
[0,1,3,5] 0,110511,0,0,0,141380,0,0
[0,1,3,6] 0,110511,0,0,0,0,126782,0
[0,1,3,7] 0,110511,0,0,0,0,0,112165
[0,1,4,0] 111905,110862,0,0,0,0,0,0
[0,1,4,1] 0,469629,0,0,0,0,0,0
[0,1,4,2] 0,110862,141116,0,0,0,0,0
[0,1,4,3] 0,110862,0,155704,0,0,0,0
[0,1,4,4] 0,110862,0,0,97277,0,0,0
[0,1,4,5] 0,110862,0,0,0,111905,0,0
[0,1,4,6] 0,110862,0,0,0,0,126520,0
[0,1,4,7] 0,110862,0,0,0,0,0,141116
[0,1,5,0] 125878,110971,0,0,0,0,0,0
[0,1,5,1] 0,379863,0,0,0,0,0,0
[0,1,5,2] 0,110971,125878,0,0,0,0,0
